"","county_name","percentage_change"
"1","KENT",-13.3333333333333
"2","GARRETT",-11.2068965517241
"3","MONTGOMERY",-10.0589225589226
"4","HOWARD",-10.0422832980973
"5","CARROLL",-9.14396887159533
"6","FREDERICK",-5.94594594594595
"7","CECIL",-4.40251572327044
"8","PRINCE GEORGE'S",-4.07420880320116
"9","CAROLINE",-3.94736842105263
"10","BALTIMORE CITY",-3.29931972789116
"11","DORCHESTER",-2.12765957446809
"12","BALTIMORE",-1.50107219442459
"13","WICOMICO",-1.04166666666667
"14","WASHINGTON",-0.4739336492891
"15","HARFORD",3.01003344481605
"16","TALBOT",4.06091370558376
"17","ALLEGANY",4.34782608695652
"18","QUEEN ANNE'S",5.83941605839416
"19","WORCESTER",7.09677419354839
"20","CHARLES",7.18685831622177
"21","CALVERT",8.29268292682927
"22","CARROLL, FREDERICK",8.33333333333333
"23","ANNE ARUNDEL",9.29230769230769
"24","SOMERSET",11.8181818181818
"25","ST MARY'S",35.3159851301115
