"","county_name","percentage_change"
"1","KENT",-13
"2","GARRETT",-11
"3","MONTGOMERY",-10
"4","HOWARD",-10
"5","CARROLL",-9
"6","FREDERICK",-6
"7","CECIL",-4
"8","PRINCE GEORGE'S",-4
"9","CAROLINE",-4
"10","BALTIMORE CITY",-3
"11","DORCHESTER",-2
"12","BALTIMORE COUNTY",-2
"13","WICOMICO",-1
"14","WASHINGTON",0
"15","HARFORD",3
"16","TALBOT",4
"17","ALLEGANY",4
"18","QUEEN ANNE'S",6
"19","WORCESTER",7
"20","CHARLES",7
"21","CALVERT",8
"22","ANNE ARUNDEL",9
"23","SOMERSET",12
"24","ST. MARY'S",35
